model,rmse,TEmax,TEmaxt,TEmaxcrit,MImax,TE0,TE1,TE2,TE3,TE4,TE5,TE6,TE7,TE8,TEcrit0,TEcrit1,TEcrit2,TEcrit3,TEcrit4,TEcrit5,TEcrit6,TEcrit7,TEcrit8,MI0,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MIcrit0,MIcrit1,MIcrit2,MIcrit3,MIcrit4,MIcrit5,MIcrit6,MIcrit7,MIcrit8,corr0,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,MImaxt,MImaxcrit,replicate,sink,source,site
0_baseline_LSTM,1.081505271254089,0.0511650772271293,1,TRUE,0.1388798769411141,0.0095291648258272,0.0511650772271293,0.0435803950355268,0.0333055214530849,0.0263899584730585,0.0244786671060934,0.0229098590800138,0.0236630300310021,0.0215514744106442,0.0156547112086349,0.015736093831757,0.0157449223142972,0.0157002013105432,0.015847187170987,0.0157762837117114,0.0158214821862158,0.0157923119867239,0.0156771424716017,0.0973857273445563,0.1388798769411141,0.1202777414414152,0.0904396739107461,0.0683532732024287,0.0553781170116074,0.0459570896145816,0.0386131770825113,0.033341920883744,0.0025741062260177,0.0025940142127781002,0.0026071277599243,0.0025523476804651,0.0025861548452406,0.0026180585385101,0.0025732762349673,0.0025395897250922,0.0025985388684826,-0.526164332503994,-0.6118540004566607,-0.5744240019066833,-0.504338733271266,-0.4421610565855734,-0.3938988198077913,-0.3554129653775537,-0.3224506934347062,-0.2926727231423687,1,TRUE,0,do_mean,tmmx,01473499
0_baseline_LSTM,1.399166685501687,0.0461740992909136,1,TRUE,0.0757782978962567,0.0160262420217388,0.0461740992909136,0.0442995320144845,0.0358373422968928,0.0318146399563022,0.027267316729791,0.0271034618590919,0.0260669655854522,0.0238291453709719,0.0161834507486065,0.0161043066350303,0.0161288031189169,0.016235459292126,0.0160515823761241,0.0160012553521236,0.0161458236819285,0.0162358822384239,0.0161590999515175,0.0457013266555427,0.0757782978962567,0.0735029827732564,0.0583535914970769,0.0465685432752226,0.0384029483835487,0.0324536503196868,0.0271131085940607,0.0235379521135517,0.0024586437939931,0.0024575047009006,0.0024324737664031,0.0024816042896687,0.0024291264005036,0.0024627518582757,0.002450923040201,0.0024546496337611,0.0024759261757975,-0.3687324363552448,-0.4778444185063261,-0.4705473160888216,-0.4199571634340313,-0.3684795887381113,-0.328108069717495,-0.2966472470786215,-0.2685418364275241,-0.2411355317204265,1,TRUE,0,do_max,tmmx,01473499
0_baseline_LSTM,0.8446510707223331,0.0444862937072908,1,TRUE,0.1576517901335682,0.0127704012949467,0.0444862937072908,0.0315842727158609,0.0223118750685133,0.0197312187740353,0.018462959139821,0.0177433040070069,0.0172409660936052,0.0176935214550526,0.0151154334394014,0.015121600269124,0.015252416912685,0.0151599606292918,0.0152186642843432,0.0152577668414339,0.015245225133229,0.0151830573872737,0.0153172480256068,0.1259648092468618,0.1576517901335682,0.1192786378611277,0.0823447718722669,0.06109268008281,0.0471873517345357,0.0388932826874897,0.0320890450778891,0.0268116194886595,0.0024606576218558,0.0024766921821355,0.0024624019509567,0.0024436572219015,0.0024512334392278,0.0024582795257753,0.0024413651995159,0.0024475733925897,0.0024352592090186,-0.5840983544025538,-0.6441834355316102,-0.5812048414931238,-0.4985103805487521,-0.4340321916185412,-0.386171006968194,-0.3473360187463457,-0.313766875307559,-0.2819656702297368,1,TRUE,0,do_min,tmmx,01473500
0_baseline_LSTM,0.8639526259693565,0.0537963007471109,1,TRUE,0.131445023329619,0.0125791623701367,0.0537963007471109,0.042781976785692,0.0332818562825779,0.0286312399358908,0.0270834549866207,0.0255744783095243,0.0239587015112279,0.0220526779453728,0.0160790417675616,0.0160298003083094,0.0161144138585097,0.0159179990033797,0.0160114226650201,0.0159081832213252,0.0160058796593552,0.0160515641644052,0.0161292340842188,0.0902759381850707,0.131445023329619,0.1081133334758282,0.0793434065937975,0.0593025657860021,0.0472440748322458,0.0387720568570326,0.0320735761945751,0.025754163842582,0.0024246604239103,0.0025120510838645,0.0025003439478902,0.0024550695995746,0.0024714720439734,0.0024816985724883,0.0024881101123875,0.0024532742727216,0.0025155976192889,-0.5050554998241185,-0.5978368807583039,-0.5595806488408637,-0.4878733324175917,-0.4259677952677337,-0.3792981051884844,-0.3412884012252812,-0.3073854036595706,-0.2737373169919187,1,TRUE,0,do_mean,tmmx,01473500
0_baseline_LSTM,1.172032863517684,0.0482290532760381,1,TRUE,0.0679780056530793,0.0184829192838126,0.0482290532760381,0.0428744045119945,0.0352341194505154,0.0310821749281292,0.0268955941253734,0.0250923658147004,0.0238819592913284,0.0218409555658876,0.0163179865804989,0.0164745589550876,0.0163631849606846,0.0162637000747368,0.01627009284843,0.0164351598550201,0.0163162055396416,0.0163558612437317,0.0163161531030018,0.0382690177340333,0.0679780056530793,0.0644670661749853,0.0508192601632411,0.0396330887528444,0.0316667564656834,0.0252590613608817,0.0205597930575137,0.0161025131585451,0.0024173953743374,0.0024254064753431,0.002419276413624,0.0024104351156242,0.0024454970645902,0.0024014066578668,0.0024167639538268,0.0023675210374538,0.0024128945384671,-0.3278227031256194,-0.4516325727868275,-0.4504387590194375,-0.4025053370437783,-0.3528468598307406,-0.3144589420936871,-0.2817486024556017,-0.2514935048159448,-0.2196592000238129,1,TRUE,0,do_max,tmmx,01473500
0_baseline_LSTM,1.0520649668300708,0.0409781765962997,1,TRUE,0.1351417399431413,0.0084889081621864,0.0409781765962997,0.031093243562865,0.0215942648846464,0.0187074790403429,0.0166535107393346,0.014953459577069,0.0148663118242221,0.0163396311315439,0.0148040276866949,0.0148610332215509,0.0147560284296813,0.0148259438243551,0.0148509958691149,0.0147693539132505,0.0148383122409904,0.0149129124156719,0.0148593834161297,0.1026927317121924,0.1351417399431413,0.113884082626804,0.0861663648466855,0.0656822432554007,0.0525930741906143,0.0431725201302553,0.0362464900530984,0.0315098557141993,0.0023286913631475,0.0023241067747644,0.0023311885468305,0.0022573241515845,0.0023357288296279,0.0023445951134609,0.0022826762849311,0.0023625151772335,0.0022553895862842,-0.5629011391654372,-0.632293267951728,-0.5916443869478046,-0.5256792759272043,-0.4682959376616109,-0.4218605022794198,-0.3844207926146565,-0.3519592470847552,-0.3223262133684383,1,TRUE,0,do_min,tmmx,01473675
0_baseline_LSTM,1.001891605652817,0.0518230463137928,1,TRUE,0.1249072474988864,0.0108672989280872,0.0518230463137928,0.0455917666354065,0.034585037735228,0.028006085429276,0.0253340675962176,0.0242145904223281,0.0225061291785314,0.0209035019028553,0.0153598957072088,0.0153448273379624,0.0152697609230986,0.0153696073384631,0.0153994938377428,0.0153013987343246,0.0154117582647454,0.0154543621889637,0.0153690541218488,0.0839742775952269,0.1249072474988864,0.1140840107438947,0.0901468776600576,0.0713729811347906,0.0588613170024685,0.0498101123154088,0.0424440364816513,0.0363102903869267,0.0023089684755641,0.0023017673296488,0.0022740739226192,0.0023561258538412,0.0023377538736112,0.0022851754052296,0.0023420650857992,0.0022880579441831,0.0023377990951386,-0.5122648382770587,-0.6064971840718523,-0.5869381749474883,-0.5323757628893733,-0.4800912540199623,-0.4374554987019639,-0.4030734499656532,-0.3724010878196303,-0.3428514583619577,1,TRUE,0,do_mean,tmmx,01473675
0_baseline_LSTM,1.16886727400456,0.0496392265139985,1,TRUE,0.0760226931114985,0.0169963269090692,0.0496392265139985,0.0481938472344536,0.0378488529835623,0.0319225056562229,0.0295201472129384,0.0270725642373579,0.0249043431423106,0.0244061587348504,0.0154129919683197,0.0155595787766826,0.0154405826359241,0.0155625019939545,0.0154752831409365,0.015520500147544,0.0153463692104212,0.015521736987302,0.0155734950971753,0.0413130873654466,0.0739273870501138,0.0760226931114985,0.0645467112957755,0.0529299545834241,0.0450869997287521,0.0396544997062898,0.0345617280472502,0.0310171315437398,0.002267306857454,0.002335672768758,0.0023041624343573,0.0023101054641888,0.0023034340505705,0.0022800836477914,0.0023424336008292,0.0023137665933216,0.0023058436534768,-0.3663518203069457,-0.4843783418043894,-0.4950402863520809,-0.4614360582002396,-0.4214904407692985,-0.3885071418464449,-0.3618548090061075,-0.3371305384401545,-0.3112075612258293,2,TRUE,0,do_max,tmmx,01473675
0_baseline_LSTM,1.1357502736847132,0.0438259718967515,1,TRUE,0.1513796187951667,0.0107079959661689,0.0438259718967515,0.0319554700290414,0.0236014501502553,0.0207675345651641,0.0210031800605429,0.0211487517178307,0.0188044723669278,0.0182458703299466,0.0165171955138716,0.0165137974227717,0.0163935315254593,0.0165531179254989,0.0164016730477494,0.0164700663702224,0.0164283314228154,0.0164478822081299,0.0163095974488501,0.1182616428645834,0.1513796187951667,0.1249754474972474,0.0931277967076112,0.0722541725004238,0.0596408671097737,0.0505311332208949,0.0431861653685727,0.0361802227534497,0.002390454637888,0.0025038811014809,0.0024654528068399,0.0024255718379124,0.0024179355393348,0.0024197960681798,0.002381278207223,0.0024358528609398,0.0024071950502306,-0.5918790467282764,-0.6573726839701233,-0.6071481491376651,-0.5349533324940611,-0.4740235926359148,-0.4256869835185872,-0.3875379858811013,-0.3541423514268849,-0.3228686192559739,1,TRUE,0,do_min,tmmx,01473780
0_baseline_LSTM,1.0304330341087793,0.055552298170542,1,TRUE,0.1340009416516127,0.01304896485787,0.055552298170542,0.0473522552621441,0.0339299195686618,0.0282447557571512,0.0267096638127851,0.0242567638146689,0.0226961514901531,0.0226270966713055,0.0161940941918713,0.016191710062057,0.0162704998009306,0.0161168243149078,0.0162128950171641,0.0162227206144044,0.0162617134191037,0.0161070054551521,0.0164110123637978,0.0914976083389411,0.1340009416516127,0.1213830205934659,0.0937062476137612,0.0738612619942131,0.0623355812058442,0.0529622265974632,0.0455497878463863,0.0386939191118798,0.002406471920389,0.002407075158889,0.0024739289136841,0.0024426635427522,0.0024413222957006,0.002369766758356,0.0024190580053788,0.0023844412438343,0.0023731147959715,-0.5314368470576004,-0.6242213041570188,-0.5965747394663475,-0.5364710771196243,-0.4808583886249248,-0.4352437993740858,-0.3979948199597492,-0.3647176409217708,-0.332809831454113,1,TRUE,0,do_mean,tmmx,01473780
